seed,kind,periodic_K,n,p_edge,shots,budget_evals,inner_iters,restarts,Jstar,auc_id,auc_fd,auc_gain,evals_end_id,evals_end_fd
7,periodic,6,12,0.45,0,5100.0,14,1,58.63970855809593,0.8354538096757601,0.8136667952288017,0.021787014446958408,5117.0,5160.0
7,periodic,6,12,0.45,0,5100.0,28,1,58.63970855809593,0.8590933822386108,0.8177338500738168,0.04135953216479393,5100.0,5100.0
7,periodic,6,12,0.45,0,5100.0,42,1,58.63970855809593,0.8471908513738696,0.8295791059359746,0.01761174543789501,5207.0,5334.0
7,periodic,6,12,0.45,0,5100.0,14,2,58.63970855809593,0.8185361592473496,0.7948359352494828,0.023700223997866754,5100.0,5100.0
7,periodic,6,12,0.45,0,5100.0,28,2,58.63970855809593,0.8293482648628018,0.8000649566528016,0.029283308210000136,5239.0,5577.0
7,periodic,6,12,0.45,0,5100.0,42,2,58.63970855809593,0.8543209992725362,0.8139899761089752,0.040331023163561075,5313.0,5313.0
7,periodic,6,12,0.45,0,5100.0,14,4,58.63970855809593,0.840159000922143,0.8284682108170148,0.01169079010512819,5239.0,5577.0
7,periodic,6,12,0.45,0,5100.0,28,4,58.63970855809593,0.8655182945638366,0.8307918355210598,0.034726459042776714,5392.0,6066.0
7,periodic,6,12,0.45,0,5100.0,42,4,58.63970855809593,0.8601144945045898,0.8406263793782307,0.019488115126359062,5555.0,6060.0
8,periodic,6,12,0.45,0,5100.0,14,1,73.27229114203335,0.8799565558622053,0.8681646957156861,0.011791860146519229,5117.0,5160.0
8,periodic,6,12,0.45,0,5100.0,28,1,73.27229114203335,0.8778034857436037,0.8657460633560897,0.01205742238751395,5100.0,5100.0
8,periodic,6,12,0.45,0,5100.0,42,1,73.27229114203335,0.8588952993469785,0.8529134574886438,0.005981841858334724,5207.0,5334.0
8,periodic,6,12,0.45,0,5100.0,14,2,73.27229114203335,0.8439763095448576,0.838488107492641,0.005488202052216562,5100.0,5100.0
8,periodic,6,12,0.45,0,5100.0,28,2,73.27229114203335,0.8547777239387045,0.8193027164670512,0.03547500747165333,5239.0,5577.0
8,periodic,6,12,0.45,0,5100.0,42,2,73.27229114203335,0.8644150514586834,0.8481499017428737,0.016265149715809613,5313.0,5313.0
8,periodic,6,12,0.45,0,5100.0,14,4,73.27229114203335,0.8430999490699039,0.821322250019251,0.021777699050652966,5239.0,5577.0
8,periodic,6,12,0.45,0,5100.0,28,4,73.27229114203335,0.8519323085945867,0.8212071676981983,0.030725140896388337,5392.0,6066.0
8,periodic,6,12,0.45,0,5100.0,42,4,73.27229114203335,0.8290461089744448,0.8116690616373352,0.01737704733710954,5555.0,6060.0
9,periodic,6,12,0.45,0,5100.0,14,1,56.55969976779068,0.7867543231268834,0.7401293140646414,0.046625009062241984,5117.0,5160.0
9,periodic,6,12,0.45,0,5100.0,28,1,56.55969976779068,0.8072983862490503,0.7846273475322663,0.022671038716783998,5100.0,5100.0
9,periodic,6,12,0.45,0,5100.0,42,1,56.55969976779068,0.7597031539782244,0.7467181474669811,0.012985006511243347,5207.0,5334.0
9,periodic,6,12,0.45,0,5100.0,14,2,56.55969976779068,0.7728470835585465,0.7735476634103656,-0.0007005798518191497,5100.0,5100.0
9,periodic,6,12,0.45,0,5100.0,28,2,56.55969976779068,0.7988684597010489,0.7713563286305518,0.027512131070497103,5239.0,5577.0
9,periodic,6,12,0.45,0,5100.0,42,2,56.55969976779068,0.8099701209617797,0.7712307704665747,0.03873935049520494,5313.0,5313.0
9,periodic,6,12,0.45,0,5100.0,14,4,56.55969976779068,0.7699952093437239,0.7573572211346459,0.012637988209078022,5239.0,5577.0
9,periodic,6,12,0.45,0,5100.0,28,4,56.55969976779068,0.7842926156951562,0.7685054042588813,0.01578721143627493,5392.0,6066.0
9,periodic,6,12,0.45,0,5100.0,42,4,56.55969976779068,0.7794552109340089,0.7736182243904729,0.005836986543536038,5555.0,6060.0
10,periodic,6,12,0.45,0,5100.0,14,1,57.528196045123266,0.7861634982763596,0.7879813889241617,-0.001817890647802134,5117.0,5160.0
10,periodic,6,12,0.45,0,5100.0,28,1,57.528196045123266,0.8115755059570702,0.7788338128803369,0.03274169307673325,5100.0,5100.0
10,periodic,6,12,0.45,0,5100.0,42,1,57.528196045123266,0.818666905066332,0.791928153053287,0.026738752013044986,5207.0,5334.0
10,periodic,6,12,0.45,0,5100.0,14,2,57.528196045123266,0.7942558249429339,0.7712254620243263,0.023030362918607605,5100.0,5100.0
10,periodic,6,12,0.45,0,5100.0,28,2,57.528196045123266,0.8096214909232071,0.7946196555105532,0.015001835412653874,5239.0,5577.0
10,periodic,6,12,0.45,0,5100.0,42,2,57.528196045123266,0.8241182170804788,0.8209373729407393,0.0031808441397395137,5313.0,5313.0
10,periodic,6,12,0.45,0,5100.0,14,4,57.528196045123266,0.7627387011278413,0.7434105991397405,0.019328101988100754,5239.0,5577.0
10,periodic,6,12,0.45,0,5100.0,28,4,57.528196045123266,0.7920934691289464,0.7744177268631429,0.017675742265803485,5392.0,6066.0
10,periodic,6,12,0.45,0,5100.0,42,4,57.528196045123266,0.8118890092149464,0.8051321302613569,0.006756878953589562,5555.0,6060.0
11,periodic,6,12,0.45,0,5100.0,14,1,63.52560107371163,0.8273540213833466,0.8244635442345946,0.002890477148752013,5117.0,5160.0
11,periodic,6,12,0.45,0,5100.0,28,1,63.52560107371163,0.8358473647763179,0.8209186104000387,0.014928754376279274,5100.0,5100.0
11,periodic,6,12,0.45,0,5100.0,42,1,63.52560107371163,0.8412487297653901,0.8294056413240524,0.011843088441337746,5207.0,5334.0
11,periodic,6,12,0.45,0,5100.0,14,2,63.52560107371163,0.8446530828574678,0.8203392207549529,0.02431386210251485,5100.0,5100.0
11,periodic,6,12,0.45,0,5100.0,28,2,63.52560107371163,0.8435630323223147,0.8255025794188079,0.018060452903506774,5239.0,5577.0
11,periodic,6,12,0.45,0,5100.0,42,2,63.52560107371163,0.8432359660365485,0.8291915877447431,0.014044378291805382,5313.0,5313.0
11,periodic,6,12,0.45,0,5100.0,14,4,63.52560107371163,0.8368792635740145,0.8025888533671738,0.03429041020684076,5239.0,5577.0
11,periodic,6,12,0.45,0,5100.0,28,4,63.52560107371163,0.8221814740823807,0.7972780962817663,0.024903377800614468,5392.0,6066.0
11,periodic,6,12,0.45,0,5100.0,42,4,63.52560107371163,0.8208290379759384,0.7995357041283344,0.021293333847604012,5555.0,6060.0
12,periodic,6,12,0.45,0,5100.0,14,1,62.15766794809451,0.7193915535951989,0.7510979281483785,-0.031706374553179595,5117.0,5160.0
12,periodic,6,12,0.45,0,5100.0,28,1,62.15766794809451,0.7328846933477304,0.7715525975309689,-0.03866790418323851,5100.0,5100.0
12,periodic,6,12,0.45,0,5100.0,42,1,62.15766794809451,0.7821780947742228,0.7957094687876252,-0.01353137401340232,5207.0,5334.0
12,periodic,6,12,0.45,0,5100.0,14,2,62.15766794809451,0.7492210088977596,0.7667285428482283,-0.01750753395046878,5100.0,5100.0
12,periodic,6,12,0.45,0,5100.0,28,2,62.15766794809451,0.7198062016787466,0.751732400006636,-0.031926198327889344,5239.0,5577.0
12,periodic,6,12,0.45,0,5100.0,42,2,62.15766794809451,0.7390281722234601,0.7690031167500531,-0.029974944526592995,5313.0,5313.0
12,periodic,6,12,0.45,0,5100.0,14,4,62.15766794809451,0.7078359355548145,0.69243878096853,0.015397154586284545,5239.0,5577.0
12,periodic,6,12,0.45,0,5100.0,28,4,62.15766794809451,0.7116952390709284,0.6780451115569233,0.03365012751400509,5392.0,6066.0
12,periodic,6,12,0.45,0,5100.0,42,4,62.15766794809451,0.7089981433048056,0.7180846577935183,-0.009086514488712671,5555.0,6060.0
13,periodic,6,12,0.45,0,5100.0,14,1,53.20921999541252,0.7558543415884508,0.7239221366745838,0.031932204913866946,5117.0,5160.0
13,periodic,6,12,0.45,0,5100.0,28,1,53.20921999541252,0.758168573957865,0.7386474832744586,0.01952109068340635,5100.0,5100.0
13,periodic,6,12,0.45,0,5100.0,42,1,53.20921999541252,0.7741498871966324,0.7490196486359936,0.025130238560638785,5207.0,5334.0
13,periodic,6,12,0.45,0,5100.0,14,2,53.20921999541252,0.7626346231894497,0.736719281460897,0.0259153417285527,5100.0,5100.0
13,periodic,6,12,0.45,0,5100.0,28,2,53.20921999541252,0.7572712119222825,0.7485660318442605,0.008705180078022012,5239.0,5577.0
13,periodic,6,12,0.45,0,5100.0,42,2,53.20921999541252,0.7773231381334436,0.766327576110749,0.010995562022694583,5313.0,5313.0
13,periodic,6,12,0.45,0,5100.0,14,4,53.20921999541252,0.7395864261986624,0.7181078333643411,0.021478592834321297,5239.0,5577.0
13,periodic,6,12,0.45,0,5100.0,28,4,53.20921999541252,0.7471564966666309,0.7224992403216198,0.024657256345011036,5392.0,6066.0
13,periodic,6,12,0.45,0,5100.0,42,4,53.20921999541252,0.752159052600723,0.7363522355637555,0.015806817036967513,5555.0,6060.0
