restarts,inner_iters,N,auc_gain_mean,auc_gain_sem,win_rate
1,14,7,0.027895356970673357,0.007321078630180407,0.8571428571428571
1,28,7,0.021779412719029563,0.003897089677787106,1.0
1,42,7,0.019847186472761496,0.0033866086839188575,1.0
2,14,7,0.03130888124680648,0.005332541881337976,1.0
2,28,7,0.025273495614583284,0.004642417082659213,1.0
2,42,7,0.014300229030534009,0.0033035252512788236,1.0
4,14,7,0.02738829338612771,0.007259817151295962,0.8571428571428571
4,28,7,0.018887209638806635,0.0032347115288049164,1.0
4,42,7,0.0058112146706919,0.002484932615539904,0.7142857142857143
